Entrez Gene IDA	Symbol A	Entrez Gene IDB	Symbol B	pmid/DOI
166	AES	7185	TRAF1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	7186	TRAF2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	7726	TRIM26	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	8241	RBM10	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	8543	LMO4	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	8553	BHLHE40	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	8576	STK16	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	8676	STX11	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	8812	CCNK	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	9470	EIF4E2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	9643	MORF4L2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	9743	ARHGAP32	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	9841	ZBTB24	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	9911	TMCC2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	10152	ABI2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	10241	CALCOCO2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	10783	NEK6	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	10817	FRS3	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	11030	RBPMS	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	11338	U2AF2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	22806	IKZF3	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	22893	BAHD1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	23154	NCDN	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	23181	DIP2A	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	23281	MTUS2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	23641	LDOC1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	25959	KANK2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	26003	GORASP2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	26121	PRPF31	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	29079	MED4	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	29948	OSGIN1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	54955	C1orf109	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	55048	VPS37C	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	55072	RNF31	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	55110	MAGOHB	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	57594	HOMEZ	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	57819	LSM2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	64098	PARVG	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	64170	CARD9	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	64782	AEN	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	79005	SCNM1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	79177	ZNF576	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	79444	BIRC7	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	79616	CCNJL	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	79720	VPS37B	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	79843	FAM124B	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	79869	CPSF7	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	80022	MYO15B	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	80705	TSGA10	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	80742	PRR3	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	81628	TSC22D4	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	81629	TSSK3	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	83746	L3MBTL2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	84304	NUDT22	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	84528	RHOXF2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	84619	ZGPAT	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	84766	CRACR2A	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	84970	C1orf94	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	84988	PPP1R16A	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	85302	FBF1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	85376	RIMBP3	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	85403	EAF1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	90933	TRIM41	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	91544	UBXN11	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	93986	FOXP2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	117286	CIB3	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	123722	FSD2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	125115	KRT40	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	127703	C1orf216	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	147525	LINC00526	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	154313	C6orf165	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	167826	OLIG3	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	220108	FAM124A	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	222546	RFX6	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	284001	CCDC57	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	386675	KRTAP10-7	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	386676	KRTAP10-9	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	386681	KRTAP10-8	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	386682	KRTAP10-3	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
166	AES	388677	NOTCH2NL	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
172	AFG3L1P	7337	UBE3A	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
185	AGTR1	5149	PDE6H	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
190	NR0B1	2104	ESRRG	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
190	NR0B1	2516	NR5A1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
191	AHCY	191	AHCY	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
191	AHCY	10513	APPBP2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
191	AHCY	79078	C1orf50	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
191	AHCY	91369	ANKRD40	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
207	AKT1	8115	TCL1A	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
211	ALAS1	211	ALAS1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
211	ALAS1	605	BCL7A	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
211	ALAS1	5493	PPL	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
211	ALAS1	6919	TCEA2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
211	ALAS1	7114	TMSB4X	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
211	ALAS1	7115	TMSB4XP1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
211	ALAS1	7116	TMSB4XP2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
211	ALAS1	7120	TMSB4XP6	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
211	ALAS1	7456	WIPF1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
211	ALAS1	7728	ZNF175	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
211	ALAS1	9168	TMSB10	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
211	ALAS1	10868	USP20	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
211	ALAS1	23503	ZFYVE26	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
211	ALAS1	26073	POLDIP2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
211	ALAS1	54535	CCHCR1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
211	ALAS1	54552	GNL3L	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
211	ALAS1	54980	C2orf42	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
211	ALAS1	57634	EP400	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
211	ALAS1	63898	SH2D4A	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
211	ALAS1	64781	CERK	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
211	ALAS1	64927	TTC23	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
211	ALAS1	79577	CDC73	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
211	ALAS1	84460	ZMAT1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
211	ALAS1	91694	LONRF1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
211	ALAS1	113115	MTFR2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
211	ALAS1	124460	SNX20	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
211	ALAS1	142679	DUSP19	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
211	ALAS1	150483	TEKT4	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
211	ALAS1	163050	ZNF564	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
211	ALAS1	283212	KLHL35	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
211	ALAS1	441518	FAM127C	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
212	ALAS2	54971	BANP	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
216	ALDH1A1	216	ALDH1A1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
221	ALDH3B1	3881	KRT31	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
221	ALDH3B1	85291	KRTAP4-2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
221	ALDH3B1	125115	KRT40	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
221	ALDH3B1	386675	KRTAP10-7	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
221	ALDH3B1	386676	KRTAP10-9	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
221	ALDH3B1	386680	KRTAP10-5	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
221	ALDH3B1	386681	KRTAP10-8	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
221	ALDH3B1	386682	KRTAP10-3	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
221	ALDH3B1	388677	NOTCH2NL	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
226	ALDOA	226	ALDOA	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
226	ALDOA	230	ALDOC	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
226	ALDOA	3441	IFNA4	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
230	ALDOC	84708	LNX1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
240	ALOX5	4222	MEOX1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
240	ALOX5	5966	REL	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
240	ALOX5	8379	MAD1L1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
240	ALOX5	79802	HHIPL2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
240	ALOX5	80254	CEP63	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
240	ALOX5	93426	SYCE1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
240	ALOX5	256646	NUTM1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
240	ALOX5	285753	CEP57L1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
248	ALPI	386676	KRTAP10-9	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
248	ALPI	386681	KRTAP10-8	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
248	ALPI	386682	KRTAP10-3	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
248	ALPI	388677	NOTCH2NL	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
250	ALPP	3846	KRTAP5-9	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
250	ALPP	83755	KRTAP4-12	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
250	ALPP	386682	KRTAP10-3	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
259	AMBP	2275	FHL3	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
271	AMPD2	271	AMPD2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
271	AMPD2	23582	CCNDBP1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
273	AMPH	5533	PPP3CC	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
273	AMPH	159989	CCDC67	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
273	AMPH	339231	ARL16	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
293	SLC25A6	373	TRIM23	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
293	SLC25A6	3881	KRT31	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
293	SLC25A6	7185	TRAF1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
293	SLC25A6	7205	TRIP6	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
293	SLC25A6	11043	MID2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
293	SLC25A6	23281	MTUS2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
293	SLC25A6	84445	LZTS2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
293	SLC25A6	150483	TEKT4	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
293	SLC25A6	388677	NOTCH2NL	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
301	ANXA1	4212	MEIS2	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
307	ANXA4	23569	PADI4	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
311	ANXA11	10016	PDCD6	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
311	ANXA11	10342	TFG	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
311	ANXA11	55165	CEP55	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
318	NUDT2	4175	MCM6	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
327	APEH	327	APEH	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
327	APEH	3964	LGALS8	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
327	APEH	9798	IST1	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
329	BIRC2	842	CASP9	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
329	BIRC2	2670	GFAP	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
329	BIRC2	4828	NMB	interactome paper: http://dx.doi.org/10.1016/j.cell.2014.10.050
