HGNC symbol	Chromosome Name	Gene Start (bp)	Gene End (bp)
OR7E23P	21	32621049	32622096
GOLGA6L4	15	84235773	84245368
TARS2P1	4	135565117	135567157
SPINT3	20	45512461	45515624
PIGF	2	46580937	46617119
INTU	4	127623271	127726737
WDR83OS	19	12668071	12671356
FGF7	15	49423096	49488775
DCBLD1	6	117453817	117569858
DEFB126	20	142369	145751
VHL	3	10141008	10152220
RPL36P16	19	41169861	41170166
MAG	19	35292125	35313804
RPL8P2	21	30263380	30263881
RPL32P1	CHR_HSCHR6_MHC_MCF_CTG1	33112911	33113320
CAMKMT	2	44361950	44772592
CYP4A27P	1	47000898	47001087
TTC39B	9	15163622	15307360
ZFP30	19	37613749	37692337
GOLGA6C	15	75258599	75270199
ZNF595	4	53285	88211
SPDYE6	7	102347206	102356444
RPS9P1	21	36132450	36133032
GZF1	20	23362182	23373063
PCAT29	15	69592129	69695750
KRT8P31	5	60743563	60744970
RING1	CHR_HSCHR6_MHC_DBB_CTG1	33186401	33190628
C1QB	1	22652762	22661538
HLA-E	CHR_HSCHR6_MHC_SSTO_CTG1	30481701	30486439
MTND1P26	2	131385700	131386237
OR2A14	7	144109583	144130069
CHSY1	15	101175723	101251932
DEFB127	20	157470	159163
TMX3	18	68673688	68715298
RNF217-AS1	6	124909093	124963039
LINC01012	6	27694035	27710222
RPL10AP3	8	34322992	34323642
BDH2P1	6	99174744	99175479
LMCD1-AS1	3	7952805	8611924
LINC01556	CHR_HSCHR6_MHC_QBL_CTG1	28943865	28944525
C21orf62	CHR_HSCHR21_3_CTG1_1	32790674	32813728
DUBR	3	107240692	107326964
CXCR1	2	218162845	218166995
LY6G6D	6	31715356	31717804
SPATA9	5	95652181	95698711
RAB9B	X	103822322	103832228
RMI1	9	83980711	84004074
C21orf62-AS1	CHR_HSCHR21_3_CTG1_1	32772100	32798969
TUBGCP5	CHR_HSCHR15_1_CTG3	22983146	23039654
CBR3-AS1	21	36131767	36175815
SIGLEC20P	19	51184905	51190809
EFCAB1	8	48710789	48735311
FAM81B	5	95391344	95450454
MRPS18A	6	43671303	43687791
PRSS8	16	31131433	31135762
MUC6	CHR_HSCHR11_2_CTG1	1012821	1043528
GOT2P1	1	55367466	55368774
PNO1	2	68157844	68176238
SSRP1	11	57325985	57335877
PHF14	7	10973872	11169630
SNX19P2	13	18892260	18895230
PPIAP9	CHR_HSCHR6_MHC_COX_CTG1	31506943	31507754
ZNF800	7	127346790	127431924
DSTNP4	3	39214199	39214672
LRGUK	7	134127299	134264591
SCGB3A1	5	180590103	180591540
NDUFS5P6	8	67849044	67849338
RPL3P11	9	14040716	14041861
KRTAP4-12	17	41123091	41124167
WDFY3	4	84669610	84966391
KIR3DL2	CHR_HSCHR19KIR_LUCE_A_HAP_CTG3_1	54850475	54867233
BTF3L4P1	21	17518526	17518993
AIG1P1	5	39022411	39022558
OR7E15P	8	12696307	12697273
BVES-AS1	6	105136308	105169945
COPS6	7	100088954	100092200
CEP290	12	88049014	88142216
ATP2B2	3	10324023	10708031
KRTAP4-6	17	41139433	41140487
ATP5HP3	9	14068932	14069417
CYP2C59P	10	95007126	95007556
SUCLG2P4	5	29001760	29003357
LINC00658	20	5426895	5471094
ADAMTS9-AS2	3	64684909	65011468
CYP2C60P	10	95009674	95009812
MAGOH	1	53226892	53238610
KIF20A	5	138178719	138187715
CRKL	22	20917426	20953749
STAP1	4	67558728	67607337
MORC2	22	30925130	30968298
SMPDL3B	1	27934993	27959157
AKR1B1P1	1	224574434	224575389
RBM17P3	9	41974362	41975768
WASF1P1	2	108276812	108277942
SEPT14P2	2	242122287	242122469
RPL15P4	CHR_HSCHR6_MHC_MCF_CTG1	31604464	31605043
KRTAP24-1	21	30281309	30282958
KRTAP4-5	17	41148924	41149802
TRAPPC12-AS1	2	3481242	3482409
MAPT-IT1	17	45895783	45898798
SNHG16	17	76557766	76565348
CICP10	2	242119856	242120053
ALOX5AP	13	30713478	30764426
FILIP1	6	75291859	75493738
B3GALT4	6	33277132	33284832
ZNF670-ZNF695	1	246945547	247078811
RPS6P20	12	131292068	131293176
MICE	CHR_HSCHR6_MHC_MCF_CTG1	29738863	29746102
IFT74-AS1	9	26955780	26956295
PKHD1L1	8	109362477	109530330
CCL14	CHR_HSCHR17_7_CTG4	35983323	35987036
UBE2Q1-AS1	1	154553609	154555017
AKAP14	X	119895837	119920716
ASTN2-AS1	9	116504283	116562293
OR2AE1	7	99875987	99877057
LINC00689	7	159006522	159030195
TMEM126A	11	85647967	85656547
TLR5	1	223109406	223143282
HLA-DPB1	CHR_HSCHR6_MHC_MCF_CTG1	33109380	33120645
DCTD	4	182890060	182917936
GRAMD4P4	14	19026521	19028189
DRICH1	22	23608452	23632321
C3orf52	3	112086335	112131004
RGAG4	X	72127110	72131901
CLSTN1	1	9729026	9824526
ETV5-AS1	3	186079170	186080947
AMT	3	49416778	49422753
SLC14A2	18	45212995	45683686
OR5D16	11	55838752	55839738
SHANK3	22	50674415	50733298
C1QTNF7	4	15339818	15446166
DEFB113	6	49968677	49969625
TBC1D23	3	100261000	100325251
OXT	20	3071620	3072517
ZNF730	19	23075210	23147219
CSNK1A1L	13	37103259	37105664
PLCXD1	X	276322	303356
KRTCAP3	2	27442366	27446481
RHOQP2	2	131460999	131461577
RPL21P54	5	34883057	34883520
MAN2B1	19	12646511	12666742
SUMO2P3	7	55732144	55732431
LINC00853	1	47179250	47180339
RBM15B	3	51391268	51397908
SLC37A3	7	140293693	140404433
UBE2Q1	1	154548577	154559028
RANBP2	2	108719481	108785811
CCL3	CHR_HSCHR17_10_CTG4	36088256	36090169
RPS12P24	13	37220860	37221246
DUXAP9	14	19062316	19115270
MRPL50P4	10	59551404	59551878
MYC	8	127735434	127741434
HMGB3P15	4	94195940	94196513
SEPHS2	16	30444381	30446181
PRR23D1	CHR_HSCHR8_3_CTG1	7531604	7534426
MIR6512	2	177313806	177313882
RNU6-908P	10	29711915	29712008
EXOC3L2	19	45212621	45234211
QSOX2	9	136206333	136245841
MIR4644	6	170330761	170330844
RNU6-543P	10	63110139	63110246
RNU6-972P	X	136773999	136774105
RNA5SP220	6	140158591	140158694
RN7SL49P	13	45002150	45002447
MIR3934	6	33698128	33698234
RN7SL270P	17	47041825	47042105
RNU6-112P	4	88275205	88275308
GSR	8	30678061	30727926
MIR520B	19	53701227	53701287
CRISPLD1	8	74984515	75034558
RNU4-52P	X	49082028	49082165
RNA5SP419	16	35753796	35753930
RNU6-219P	18	58805268	58805374
ACSF3	16	89088375	89155846
RNU6-790P	14	101803227	101803331
TECPR2	14	102362963	102502481
ZNF154	19	57697367	57709194
RNU7-13P	1	184821428	184821489
SERPINA5	14	94561442	94593120
RNA5SP414	16	35748520	35748655
HCN3	1	155277583	155289848
RNU6-485P	12	7118785	7118891
MIR6824	3	48633636	48633698
RNU6-336P	8	22434391	22434497
MIR4999	19	8389290	8389380
RHBDF1	16	58059	76355
MIR522	19	53751197	53751303
RNU6-203P	X	133531723	133531826
MIR146A	5	160485352	160485450
CTAGE15	7	143571801	143574387
MIR4421	1	51059837	51059905
RNU1-78P	15	45002864	45003028
SNORD115-22	15	25209918	25209999
SNORA38B	17	67740669	67740799
MIR4708	14	65335117	65335183
MIR7110	3	123161794	123161879
LENG1	CHR_HSCHR19LRC_LRC_S_CTG3_1	54156127	54160192
RN7SL79P	17	31465543	31465832
SNORD121A	9	33952769	33952850
SNORA61	1	28579764	28579893
RNU6-494P	12	32477382	32477471
FTLP10	4	68182292	68212470
CHRNB4	15	78624119	78727754
MIR4499	13	20433778	20433846
MIR6891	CHR_HSCHR6_MHC_MANN_CTG1	31398243	31398335
RNU6-630P	X	42139425	42139530
RNU6-660P	5	16941843	16941951
RNA5SP179	5	16853994	16854114
RN7SL283P	2	139982684	139982986
SNORD58C	18	49489245	49489308
SNX6P1	19	23126569	23127792
RNU6-435P	18	24218300	24218404
CCDC114	19	48296457	48321894
MIR1258	2	179860836	179860908
MIR1281	22	41092513	41092566
MBD4	3	129430944	129440179
RNU7-53P	5	130386621	130386680
GNAI1	7	80133955	80219402
RNU1-77P	15	82174224	82174385
RNU7-153P	8	14319455	14319516
RN7SL395P	8	144785298	144785588
MIR302B	4	112648485	112648557
RNU4-42P	1	160392768	160392909
RN7SKP80	22	42565048	42565330
RN7SKP239	11	67362414	67362708
ACTG1P22	2	57755428	57766052
MIR223	X	66018870	66018979
GMPR	6	16238580	16295549
RNU7-35P	7	43194421	43194482
RN7SL652P	11	47557534	47557833
MIR548AT	17	42494773	42494830
RNU6-1159P	20	15021553	15021659
RNU4-41P	12	98417896	98418038
RN7SL794P	9	99185587	99185866
RNU6-264P	9	19073843	19073946
MIR548M	X	95063141	95063226
RNU6-1248P	1	223690051	223690114
RNY4P6	11	117015897	117015992
RNU6-1264P	17	6207163	6207269
RN7SL143P	16	58770524	58770820
RNU2-11P	3	195928589	195928775
RNU6-1251P	20	43473013	43473119
CNGB1	16	57882340	57971116
RN7SL303P	8	22977877	22978127
MIR218-1	4	20528275	20528384
MIR6085	15	62343029	62343138
MIR153-2	7	157574336	157574422
RNU6-79P	13	72881108	72881214
RNU6-546P	2	155330421	155330527
RNU6-1025P	CHR_HSCHR11_2_CTG1	948421	948524
MIR6724-2	21	8249505	8249596
RNU6-252P	14	21113639	21113745
RNU6-579P	2	133333829	133333930
BNIP3P37	19	23123188	23124088
RN7SL238P	15	28387196	28387485
MIR8087	11	27514970	27515047
RNA5SP122	2	241584968	241585075
SNORD36B	9	133350095	133350168
RNU4-32P	12	109567975	109568115
MIR548I4	X	84225752	84225828
SLC16A4	1	110362848	110391082
MIR582	5	59703597	59703708
RNY4P17	4	169005249	169005344
ETV5	3	186046308	186110318
RNU6-886P	14	37434469	37434573
TEX40	11	64300446	64304770
MIR424	X	134546611	134546721
MIR7-1	9	83969748	83969857
RN7SL160P	2	70965584	70965867
RNU6-881P	9	131126990	131127091
RNF217	6	124962545	125092633
SNORA54	CHR_HSCHR11_1_CTG7	2962636	2962758
MIR7853	6	6169304	6169435
RNU6-1206P	2	201079842	201079944
MIR4311	CHR_HSCHR15_2_CTG8	66040233	66040332
MIR1228	12	57194504	57194576
PCDHB10	5	141182560	141195642
PFDN6	6	33289302	33298401
RNA5SP366	12	99083783	99083905
RN7SKP271	20	35643143	35643462
SNORD114-16	14	100973595	100973664
MIR6810	2	218341911	218341980
RN7SL516P	2	29681027	29681323
MEIS1-AS2	2	66439088	66441836
RNU6-1136P	7	102834605	102834708
MIR6770-2	CHR_HSCHR16_1_CTG1	16415630	16415689
RNU1-136P	6	53219261	53219424
MIR6511A2	16	16324588	16324654
RN7SL268P	CHR_HSCHR22_1_CTG7	23879493	23879790
RNU2-45P	6	28410270	28410456
SNORA84	9	92292461	92292593
RN7SL384P	10	114423770	114424067
MIR3124	1	248826377	248826443
SNORD93	7	22856613	22856686
ZNF70P1	CHR_HSCHR6_MHC_MCF_CTG1	33386065	33386688
RN7SL366P	6	163840561	163840852
SNORD116-25	15	25097663	25097754
RN7SL724P	3	139609669	139609939
RNY3	7	148983755	148983856
RN7SL756P	17	67457023	67457290
RNU6-375P	22	41168217	41168316
RN7SKP107	14	89621918	89622207
RN7SL761P	13	68693804	68694081
MIR5006	13	41568286	41568395
RNU2-62P	6	27109790	27109980
RNA5SP219	6	136630243	136630355
RNU6-1108P	15	44927600	44927703
MIR6795	19	15179283	15179350
RNU6-583P	4	127891991	127892082
RN7SL847P	10	33034655	33034924
SNORD115-45	15	25264510	25264590
MIR4264	2	79649294	79649359
PA2G4P1	X	120868611	120869807
RN7SL759P	15	20570886	20571175
MIR1255A	4	101330302	101330414
MIR4731	17	15251627	15251696
RNU6-1115P	6	110856417	110856522
RNU6-655P	18	78036739	78036845
MIR454	17	59137758	59137872
RNU6ATAC34P	20	18611047	18611167
MIR211	15	31065032	31065141
CT47A7	X	120953288	120956600
RNU1-75P	1	119331397	119331525
RNU7-148P	2	167631480	167631541
MIR4706	14	65044688	65044769
RNU6-605P	1	38926870	38926977
RNU6-329P	9	102256604	102256710
MIR6833	CHR_HSCHR6_MHC_COX_CTG1	32128287	32128347
MIR4312	15	68801850	68801925
RNU1-69P	12	55874678	55874841
MIR548AP	15	85825635	85825730
RN7SL147P	3	11952788	11953085
RNU6-986P	2	27475494	27475595
RN7SKP247	1	81251789	81252096
LMNB2	19	2427638	2456996
MIR1179	15	88608101	88608211
SNORD115-46	15	25266591	25266661
SNORD114-26	14	100987046	100987117
RNU6-430P	16	89443318	89443424
MIR587	6	106784125	106784220
RNU6-744P	2	113681111	113681217
MIR3199-2	22	27920525	27920612
MIR3199-1	22	27920525	27920612
MIR6834	CHR_HSCHR6_MHC_COX_CTG1	33211849	33211929
RNU6-746P	4	55294490	55294598
RNU6-1004P	12	121604902	121605012
MEIS1-AS3	2	66426735	66433470
RNU6-436P	2	157912772	157912885
MIR3179-4	16	18494493	18494576
RN7SKP134	12	14553702	14553970
FAT1P1	20	10888582	10889088
MIR5696	2	101309450	101309534
RNU6-795P	10	38043873	38043975
RDH13	CHR_HSCHR19LRC_LRC_S_CTG3_1	55052029	55070922
MBOAT7	CHR_HSCHR19LRC_LRC_S_CTG3_1	54173854	54190480
SNORD48	CHR_HSCHR6_MHC_APD_CTG1	31902285	31902347
RN7SKP97	8	61631680	61632012
SNORD51	2	206161878	206161957
RNU6-848P	2	130622838	130622944
RNU6-1087P	X	35594173	35594273
MIR4669	9	134379411	134379472
RNU6-686P	15	65229861	65229967
RNU4-27P	1	36402721	36402859
RNY1P7	13	24703556	24703665
MIR5589	19	10038354	10038413
RN7SL408P	6	134133573	134133868
SNORD115-7	15	25182385	25182466
RNU6-384P	20	31581089	31581192
TAF9	CHR_HSCHR5_2_CTG1_1	69350995	69370027
DGKK	X	50365409	50470738
RN7SL703P	3	181813401	181813702
CXorf21	X	30558824	30577844
SNORA64	16	1962973	1963106
GOLGA6L11P	Y	24168187	24174494
RN7SL138P	17	30959564	30959850
RNU6-1252P	4	52494849	52494952
MIR6833	6	32179816	32179876
RNU4-9P	13	21038529	21038667
RNU7-158P	4	183169348	183169417
RNU6-355P	16	90144592	90144695
RN7SL341P	2	64817378	64817675
RNU6-428P	3	146571477	146571583
HOXC8	12	54009106	54012362
MIR6716	11	118644000	118644079
RNU6-999P	1	245043928	245044032
RN7SL150P	19	33927364	33927625
RN7SL473P	1	150566562	150566860
MIR3926-2	8	12727232	12727304
MIR3926-1	8	12727232	12727304
TCAF1P1	7	143598040	143604839
MIR3179-2	CHR_HSCHR16_1_CTG1	16385307	16385390
RN7SL47P	6	106283413	106283711
MIR6724-4	21	8432530	8432621
MIR488	1	177029343	177029452
RNU6-157P	1	172366540	172366646
RNU6-91P	14	99444306	99444412
MIR527	19	53754018	53754102
SNORD117	CHR_HSCHR6_MHC_COX_CTG1	31523826	31523901
RNU6-429P	5	11027200	11027307
RNU4ATAC11P	9	33868540	33868665
MIR4324	19	49308797	49308868
RNU6-132P	15	89714232	89714338
RNU6-254P	12	19445949	19446055
MIR6837	7	44051766	44051829
MIR597	8	9741672	9741768
LINC00408	13	18905439	18907810
RN7SL277P	1	19424384	19424671
PSME2P2	13	48771128	48771827
RNU6-1069P	12	31802958	31803090
RN7SL405P	17	44883986	44884274
RN7SKP255	14	89712511	89712823
RNU7-147P	2	199191059	199191120
RN7SL817P	2	46448224	46448511
MIR519E	19	53679940	53680023
RNU1-133P	2	200775584	200775750
RNU6-144P	8	137105352	137105458
RN7SL419P	4	153381729	153382015
RNA5-8S5	21	8439823	8439975
RNA5SP362	12	66066221	66066338
RNU6-944P	16	20784509	20784615
RN7SL741P	13	25944478	25944766
NPM1P12	7	149334024	149334857
MIR3616	20	47166967	47167058
SNORD114-14	14	100972103	100972177
RN7SL334P	6	25031009	25031287
RN7SL654P	1	184335658	184335949
RNA5SP439	17	36491199	36491322
RNU6-466P	15	30956248	30956350
MIR128-2	3	35744476	35744559
PSMB9	CHR_HSCHR6_MHC_QBL_CTG1	32772831	32808281
RNU6-960P	6	111091213	111091332
CHMP4B	20	33811304	33854366
RNU6-531P	4	139055475	139055578
GP6	CHR_HSCHR19LRC_LRC_S_CTG3_1	55021410	55045969
RNU6-1022P	1	21987816	21987919
RNU6-41P	1	182982212	182982318
RNU6-1123P	11	119656311	119656416
RNU2-70P	1	236267780	236267958
MIR3135B	CHR_HSCHR6_MHC_SSTO_CTG1	32841523	32841590
RNU1-148P	8	24076997	24077158
RNU7-48P	6	70513294	70513356
RNA5SP403	16	9564390	9564497
RNA5SP131	3	50419781	50419899
RNU7-10P	3	17664963	17665025
RN7SL502P	6	36450912	36451201
RNA5SP31	13	60613608	60613734
MIR520E	19	53675711	53675797
MTMR10	CHR_HSCHR15_4_CTG8	31092912	31142971
RN7SKP158	11	28261194	28261519
MIR4500	13	87618665	87618740
RNU6-1075P	10	16207821	16207927
RN7SKP288	10	110756456	110756723
RNU6-391P	6	24365651	24365754
RNA5SP214	6	117060682	117060799
RNU6-954P	21	13968489	13968595
MIR6749	11	64902387	64902455
RNU6-232P	3	125388934	125388997
MIR495	14	101033734	101033841
TDGF1P4	6	3941282	3941801
CBLN1	16	49277917	49281831
MIR3921	3	99964314	99964398
RN7SKP4	13	45123093	45123414
SNORD55	1	44775864	44775943
RNU6ATAC23P	X	139885481	139885603
RNU2-34P	4	182548659	182548779
MX1	21	41420304	41459214
MIR4646	CHR_HSCHR6_MHC_MANN_CTG1	31740484	31740546
SNORD37	19	3982507	3982572
SCARNA14	15	66347207	66347342
CTBP2P1	Y	56855244	56855488
RN7SL488P	1	63529613	63529898
RN7SL88P	12	96101951	96102249
MIR4314	17	8088056	8088147
RNU6-467P	17	20323001	20323110
RNU6ATAC16P	3	52560570	52560707
RNU6-1258P	CHR_HSCHR14_7_CTG1	93437400	93437510
MIR6509	7	135206994	135207078
RN7SL267P	2	182314284	182314544
MIR3186	17	81451104	81451188
MIR758	14	101026020	101026107
RN7SL74P	X	97341046	97341344
RNU6ATAC41P	8	100739802	100739927
RNA5SP509	X	77066709	77066827
RNU7-60P	12	11546479	11546540
MIR548AG1	4	60922619	60922684
SDCBP2P1	6	73322837	73323450
POLR2LP	6	31140727	31140913
RNU6-718P	5	120337549	120337653
RNU6-458P	14	18343038	18343144
RN7SKP218	7	53490148	53490439
RNA5SP77	1	227561181	227561300
MIR4756	20	54068408	54068485
RN7SKP11	12	96427200	96427486
MIR4683	10	35641172	35641252
RNU7-26P	6	27897504	27897566
RBMX	X	136848004	136880764
PAICSP3	6	73327524	73329017
RN7SKP280	7	155181881	155182184
RN7SKP204	6	13547704	13548013
MIR4263	2	27996367	27996449
MIR6511A2	CHR_HSCHR16_1_CTG1	16409704	16409770
MIR570	CHR_HSCHR3_8_CTG3	195699401	195699497
MIR4691	11	68033897	68033981
RNA5-8SP3	9	108992409	108992569
RNU6-788P	3	23641489	23641592
MIR190B	1	154193642	154193753
RN7SL418P	3	69769487	69769773
RN7SL547P	20	7633562	7633851
SNORA78	16	1965184	1965310
RN7SL91P	X	25060649	25060939
MIR494	14	101029611	101029719
RNU7-137P	20	18095571	18095632
RN7SKP116	6	47715283	47715601
RN7SKP68	5	102302504	102302810
MIR8077	19	42351131	42351205
SNORA56	X	154774998	154775126
SNORA23	11	9428773	9428954
RNU7-47P	3	142801207	142801268
RNA5SP44	1	39154164	39154296
RNU6-238P	12	50656973	50657078
RN7SL69P	12	6095699	6095970
FAM230C	13	18195297	18232024
RNU6-6P	10	13217269	13217375
MIR5197	5	143679860	143679971
NLRP2	CHR_HSCHR19LRC_PGF1_CTG3_1	54894717	54929555
SNORA18	11	93733466	93733597
NLRP2	CHR_HSCHR19LRC_LRC_J_CTG3_1	54998440	55034296
MIR4490	11	90555774	90555857
MIR5687	5	55508850	55508926
RNU6-1130P	X	130310072	130310178
SNORA65	9	127448501	127448630
RNU6-179P	1	154039916	154040022
RN7SL517P	3	43314951	43315255
RNU6-1003P	5	17240611	17240715
MIR149	2	240456001	240456089
MIR3180-2	CHR_HSCHR16_1_CTG1	16394989	16395082
RNU6ATAC39P	10	12456483	12456631
RNU12	22	42615244	42615393
MIR6783	17	44934618	44934681
MIR376A1	14	101040755	101040864
RN7SL26P	6	33540694	33541000
MIR4784	2	131491160	131491236
RN7SL335P	4	122087508	122087811
RN7SL34P	19	41286424	41286693
LMCD1	3	8501707	8574673
LINC01608	8	110937690	111027433
MIR509-2	X	147258760	147258850
MIR148B	12	54337208	54337316
RNA5SP386	14	67657105	67657211
TCERG1	5	146447311	146511961
MIR26A2	12	57824609	57824692
SNORD63	5	138561043	138561110
MIR26B	2	218402637	218402746
RNA5SP412	16	35746772	35746894
RNU6-1125P	7	54621025	54621131
OR52X1P	11	6066873	6067786
RNA5SP310	10	45856307	45856422
SNORA11	X	54814370	54814497
FNTA	8	43034194	43085788
RNU6-176P	1	28142737	28142841
NCR1	CHR_HSCHR19LRC_LRC_T_CTG3_1	54850138	54857077
RN7SL398P	10	33288304	33288601
MIR3713	15	76586647	76586691
RN7SL827P	6	73487590	73487877
GTPBP6	X	304529	318819
MIR4515	15	83067335	83067415
MIR888	X	145994784	145994860
ZNF890P	7	5121239	5144546
MIR569	3	171106664	171106759
MIR520F	19	53682162	53682260
RNA5SP318	10	53458197	53458288
RNU1-31P	2	236210373	236210548
MIR6720	6	1390314	1390411
MIR892A	X	145996669	145996743
RNA5SP319	10	68461407	68461525
IL18BP	11	71998541	72005715
CNNM3	2	96816245	96833911
MIR216A	2	55988950	55989059
MIR643	19	52281797	52281893
MIR570	CHR_HSCHR3_5_CTG3	195699401	195699497
SNORA16A	1	28580920	28581056
MIR641	19	40282543	40282641
RNU6-106P	1	155358712	155358818
MIR23B	9	95085208	95085304
UBE2Q2P12	15	84491480	84500599
RNU6-80P	13	72706017	72706123
MIR4420	1	30739156	30739232
RNU6-122P	X	123874459	123874565
RNU7-143P	7	23450658	23450722
SNORD90	9	122880213	122880323
MIR4728	17	39726495	39726561
SNORA38	CHR_HSCHR6_MHC_MANN_CTG1	31662524	31662655
RN7SL448P	17	60899891	60900185
EIF4EBP2	10	70404379	70428618
RNU6-1053P	4	183705931	183706031
RNU6-717P	12	133238335	133238438
MIR323A	14	101025712	101025819
RNU6-993P	19	2503047	2503141
RNU6-1186P	15	98074667	98074763
RN7SL351P	11	126245035	126245282
ZNF259P1	6	108782126	108787053
RNU5B-3P	3	45034474	45034588
MIR1295A	1	171101728	171101806
RN7SL350P	8	99613783	99614081
MIR378E	5	170028488	170028566
RNA5SP230	7	44125752	44125873
CCT3	1	156308968	156367873
MIR19B2	X	134169671	134169767
RNU7-7P	X	38608215	38608276
RNA5SP458	18	50319002	50319120
RNU11	1	28648600	28648733
RNU6-1145P	2	61605616	61605722
RN7SL523P	14	100319073	100319370
RNU6-1002P	CHR_HSCHR13_1_CTG3	18885950	18886053
LINC01269	14	70698698	70712153
MIR153-1	2	219294111	219294200
DAXX	CHR_HSCHR6_MHC_SSTO_CTG1	33469139	33469421
NAALADL1	11	65044818	65058549
MIR1234	8	144400086	144400165
RNY3P5	13	60789560	60789661
MIR4681	10	119377972	119378043
REG1P	2	79135503	79138427
RNU6-1208P	1	24777873	24777979
MIR4538	CHR_HSCHR14_3_CTG1	105858936	105859013
CDY2B	Y	17877410	17880220
MIR483	11	2134111	2134222
RN7SL636P	20	50429190	50429483
NKAP	X	119920672	119943772
MIR4321	19	2250639	2250718
MIR941-3	20	63919868	63919939
MIR941-5	20	63919868	63919939
PGAM1P2	9	35943210	35943934
MIR365B	17	31575411	31575521
MIR2392	14	100814491	100814574
MIR3659	1	38089231	38089329
MIR4641	6	41598723	41598788
SNORD38B	1	44778390	44778456
MIR6817	22	25455646	25455711
SNORD114-4	14	100954374	100954448
MIR4509-2	15	28426491	28426584
GUCA1B	6	42184401	42194916
RNU6-1129P	3	86235321	86235424
RN7SL364P	19	46688797	46689068
RNU6-500P	5	173362134	173362240
SNORD17	20	17962710	17962946
RNA5SP335	11	19401872	19401981
ADAMTS15	11	130448974	130476641
